DATE,DCOILWTICO
2000-01-01,17.47328
2000-04-01,0.09025
2000-07-01,9.35537
2000-10-01,1.36811
2001-01-01,-10.29060
2001-04-01,-2.91400
2001-07-01,-4.37182
2001-10-01,-23.23116
2002-01-01,5.56018
2002-04-01,21.39310
2002-07-01,7.79957
2002-10-01,-0.07960
2003-01-01,20.30052
2003-04-01,-14.86224
2003-07-01,4.28303
2003-10-01,3.13241
2004-01-01,13.39516
2004-04-01,8.41907
2004-07-01,14.53431
2004-10-01,10.04478
2005-01-01,3.31172
2005-04-01,6.43367
2005-07-01,19.21461
2005-10-01,-5.18967
2006-01-01,5.39801
2006-04-01,11.37072
2006-07-01,0.02974
2006-10-01,-14.95002
2007-01-01,-3.11666
2007-04-01,11.86438
2007-07-01,15.78940
2007-10-01,20.41989
2008-01-01,8.02811
2008-04-01,26.48764
2008-07-01,-4.43155
2008-10-01,-50.39251
2009-01-01,-26.48396
2009-04-01,38.17245
2009-07-01,14.31254
2009-10-01,11.53488
2010-01-01,3.69604
2010-04-01,-1.25752
2010-07-01,-2.25403
2010-10-01,11.96187
2011-01-01,10.45751
2011-04-01,8.45747
2011-07-01,-12.28050
2011-10-01,5.05321
2012-01-01,9.53990
2012-04-01,-9.41452
2012-07-01,-1.20142
2012-10-01,-4.51109
2013-01-01,7.17570
2013-04-01,-0.29323
2013-07-01,12.52706
2013-10-01,-7.87462
2014-01-01,1.21181
2014-04-01,4.73117
2014-07-01,-5.29976
2014-10-01,-25.19517
2015-01-01,-33.77350
2015-04-01,19.32414
2015-07-01,-19.65014
2015-10-01,-9.78687
2016-01-01,-20.47082
2016-04-01,36.30635
2016-07-01,-1.33907
2016-10-01,9.55073
2017-01-01,5.05893
2017-04-01,-6.81401
2017-07-01,0.16208
2017-10-01,14.70286
2018-01-01,13.82384
2018-04-01,8.20232
2018-07-01,2.38275
2018-10-01,-13.95050
2019-01-01,-8.57569
2019-04-01,9.22429
2019-07-01,-5.91817
2019-10-01,0.90274
2020-01-01,-20.24765
